"east","north","evi.mean","evi.sd","annual.evi.sd","inter.evi.sd","nat.fres","Urban","Industrial","Quarry","ArtificialVeg","Arable","PermanentCrops","Pasture","HeteroAg","Forest","Scrub","OpenGround","InlandWet","MaritimeWet","InlandWater","Marine"
145000,205000,0.54132072,0.100521416,0.110591587,0.019645381,302.3,0.0126,0,0.0012,0.0054,0,0,0.6794,0.1815,0.0539,0.018,0.0103,0.0258,0,0.0119,0
145000,215000,0.559892226,0.089218431,0.106417691,0.014678171,290.7,0.0018,0,0.0032,0,0,0,0.7782,0.0963,0.0118,0.0696,0.0291,0.0025,0.0023,0,9e-04
145000,225000,0.566799501,0.083892523,0.104258104,0.018159993,277.7,0.0101,0,0.0029,0.0034,0,0,0.8192,0.0997,0.0369,0.0233,0,0.0041,0,0,2e-04
145000,235000,0.586073209,0.081289888,0.10135853,0.017102183,267.8,0.0075,0,0,0.0065,0.0109,0,0.9572,0.0059,0,0,0.0119,0,0,0,0
145000,245000,0.577822353,0.10315918,0.100615275,0.016265383,255.5,0.0087,0,0.0057,0.005,9e-04,0,0.8495,0.0137,0,0,0,0.1168,0,0,0
145000,255000,0.568372734,0.102164224,0.098604437,0.017677901,256.7,0.0429,0.0031,0,5e-04,0.006,0,0.8172,0.0056,0,0.0118,0,0.1128,0,0,0
145000,265000,0.542559421,0.095701918,0.097512567,0.015807007,257.1,0,0,0,0,0.0068,0,0.7853,0.0332,0.0233,0.0098,0,0.1419,0,0,0
145000,275000,0.5323066,0.094388697,0.096756142,0.016784926,262.3,0.0102,0,0,0,0,0,0.8208,0.038,0.0047,0.0148,0,0.1117,0,0,0
145000,285000,0.528716155,0.099565242,0.093496267,0.01452666,263.7,5e-04,0,0.0047,0.0028,0,0,0.8232,0.0174,0.0096,0,0,0.1347,0,0.0072,0
145000,295000,0.466584839,0.090463776,0.093167048,0.012612652,273.5,0.0118,0.023,0.0322,0,0,0,0.5137,0.0603,0.0592,0.0416,0,0.2583,0,2e-04,0
145000,305000,0.470085366,0.092015728,0.09828907,0.015162661,265.1,0.0066,0.0034,0,0,0,0,0.6095,0.0542,0.007,0.0141,0,0.3052,0,0,0
145000,315000,0.444364982,0.096024403,0.093717955,0.010949204,304.1,0,0,0,0,0,0,0.3321,0.0807,0.065,0.1335,0,0.386,0,0.0027,0
145000,325000,0.338532991,0.076487793,0.083898883,0.009717234,304.3,0,0,0,0,0,0,0.0279,0.0011,0.0584,0.1304,0,0.7706,0,0.0118,0
145000,335000,0.536296463,0.153314513,0.112293484,0.015890261,326.1,0.0036,0,0,0,0,0,0.4942,0.0149,0.0095,0.0033,0,0.0351,0,0,0.01
145000,45000,0.592854551,0.103289372,0.058565832,0.01606887,239.7,0,0,0,0.0066,0.0353,0,0.8834,0.0321,0.0182,0,0,0,1e-04,0,0.0039
145000,55000,0.574605572,0.100847064,0.07579739,0.019367139,244.6,0.0253,0.004,0,0.0041,0.0681,0,0.8392,0.0297,0.029,0,0,0,0,0,0
145000,65000,0.578108293,0.094996295,0.07406657,0.018145039,250,0.0041,0,0.0068,0,0.0306,0,0.8288,0.1009,0.0158,0.0134,0,0,0,0,0
145000,75000,0.565566339,0.107625857,0.077346514,0.017051095,243.3,0.0031,0,0.0078,0,0.0199,0,0.8903,0.0133,0.0232,0.0099,0,0,0,0.0329,0
145000,85000,0.547009945,0.118539253,0.072289065,0.021230528,282.7,0,0,0,0,0,0,0.6113,0.0373,0.1049,0.1844,0,0.0618,0,0,0
145000,95000,0.542721267,0.105788316,0.091061555,0.018590569,255.4,0,0,0,0,0.0321,0,0.7682,0.0534,0.0911,0.0521,0,0.0033,0,0,0
